Label	RT	Carbon	Insat
FA14:0	3.934	14	0
FA DMA 16:0	4.438	16	0
FA16:0	4.833	16	0
FA16:1n7	5.003	16	1
FA DMA 18:0	5.543	18	0
FA DMA 18:1	5.69	18	1
FA18:0	5.89	18	0
FA18:1n9	6.063	18	1
FA18:2n6	6.369	18	2
FA18:3n6	6.513	18	3
FA18:4	6.973	18	4
FA20:0	7.042	20	0
FA20:1n9	7.288	20	1
FA20:2n6	7.488	20	2
FA20:3n6	7.694	20	3
FA20:4n6	7.836	20	4
FA22:0	8.009	20	0
FA20:5n3	8.177	20	5
FA22:1	8.292	22	1
FA22:4	9.262	22	4
FA22:5	9.547	22	5
FA24:0	9.751	24	0
FA24:1n9	10.091	24	1
FA22:6n3	10.217	22	6
FA26:0	10.552	26	0

